mouse_model,name,bigg_accessions,hmdb_secondary,kegg_id,lipidmaps_id,inchi_key,hmdb_primary
b2coa,['Crotonoyl-CoA'],"['b2coa_m', 'b2coa_c', 'b2coa', 'b2coa_x', 'b2coa[m]', 'b2coa[x]', 'b2coa[c]']","['HMDB59627', 'HMDB02009', 'HMDB62466']",['C00877'],['LMFA07050307'],['KFWWCMJSYSSPSK-PAXLJYGASA-J'],HMDB0002009
betald,['Betaine aldehyde'],"['betald_c', 'betald_m', 'betald[m]', 'betald[c]', 'betald']",['HMDB01252'],['C00576'],,['SXKNCCSPZDCRFD-UHFFFAOYSA-N'],HMDB0001252
bhb,['(R)-3-Hydroxybutanoate'],"['bhb', 'bhb[e]', 'bhb[c]', 'bhb_x', 'bhb_p', 'bhb_m', 'bhb[m]', 'bhb_e', 'bhb_c']",['HMDB00011'],['C01089'],['LMFA01050243'],['WHBMMWSBFZVSSR-GSVOUGTGSA-M'],HMDB0000011
bilirub,['Bilirubin cytosol'],"['bilirub_c', 'bilirub_e', 'bilirub[c]', 'bilirub[r]', 'bilirub_h', 'bilirub[e]', 'bilirub', 'bilirub_r']",['HMDB00054'],['C00486'],,['BPYKTIZUTYGOLE-IFADSCNNSA-L'],HMDB0000054
biliverd,['Biliverdin cytosol'],"['biliverd', 'biliverd_e', 'biliverd_h', 'biliverd_c', 'biliverd[e]', 'biliverd_p', 'biliverd[c]']","['HMDB02309', 'HMDB01008']",['C00500'],,['QBUVFDKTZJNUPP-BBROENKCSA-L'],HMDB0001008
btamp,['Biotinyl 5  AMP C20H27N7O9PS'],"['btamp[m]', 'btamp_m', 'btamp[c]', 'btamp_c', 'btamp']",,,,['UTQCSTJVMLODHM-RHCAYAJFSA-N'],HMDB0004220
btcoa,['Butanoyl-CoA'],"['btcoa_x', 'btcoa[m]', 'btcoa[x]', 'btcoa[c]', 'btcoa_c', 'btcoa_h', 'btcoa', 'btcoa_m']",['HMDB01088'],['C00136'],['LMFA07050292'],['CRFNGMNYKDXRTN-CITAKDKDSA-J'],HMDB0001088
btn,['Biotin'],"['btn[e]', 'btn_e', 'btn_p', 'btn', 'btn[c]', 'btn_h', 'btn[m]', 'btn_n', 'btn[n]', 'btn_m', 'btn_c']",['HMDB00030'],['C00120'],,['YBJHBAHKTGYVGT-ZKWXMUAHSA-M'],HMDB0000030
bvite,['Beta-Tocopherol'],"['btocophe', 'bvite_h', 'bvite[c]', 'bvite[e]', 'bvite', 'btocophe_c', 'bvite_e', 'bvite_c']",['HMDB06335'],['C14152'],['LMPR02020059'],['WGVKWNUPNGFDFJ-DQCZWYHMSA-N'],HMDB0006335
bz,['Benzoate'],"['bz_r', 'bz[m]', 'bz_p', 'bz[r]', 'bz[c]', 'bz[e]', 'bz_c', 'bz', 'bz_e']",['HMDB01870'],"['C00539', 'C00180']",,['WPYMKLBDIGXBTP-UHFFFAOYSA-M'],HMDB0001870
ca2,['Calcium'],"['ca2_c', 'ca2_m', 'ca2_e', 'ca2[c]', 'ca2', 'ca2[r]', 'ca2_p', 'ca2[e]']",['HMDB00464'],['C00076'],,['BHPQYMZQTOCNFJ-UHFFFAOYSA-N'],HMDB0000464
cala,['N-Carbamoyl-beta-alanine'],"['cala', 'cala[e]', 'cala_c', 'cala[c]']","['HMDB62812', 'HMDB00026']",['C02642'],,['JSJWCHRYRHKBBW-UHFFFAOYSA-M'],HMDB0000026
camp,['CAMP C10H11N5O6P'],"['camp_e', 'camp[e]', 'camp_n', 'camp', 'camp_g', 'camp_c', 'camp[g]', 'camp[c]']",['HMDB00058'],['C00575'],,['IVOMOUWHDPKRLL-KQYNXXCUSA-M'],HMDB0000058
caro,['Beta-Carotene'],"['caro_u', 'caro_h', 'caro_c', 'caro', 'caro_e', 'caro[c]', 'bcarote_c', 'bcarote', 'caro[e]']",['HMDB00561'],['C02094'],"['LMPR01070001', 'LMPR01070000']",['OENHQHLEOONYIE-JLTXGRSLSA-N'],HMDB0000561
carveol,['(-)-trans-carveol'],"['carveol[c]', 'carveol_c', 'carveol[e]', 'carveol', 'carveol_e']",['HMDB36083'],,,['BAVONGHXFVOKBV-UHFFFAOYSA-N'],HMDB0036083
cbasp,['N-Carbamoyl-L-aspartate'],"['cbasp[c]', 'cbasp_m', 'cbasp_c', 'cbasp', 'cbasp_e', 'cbasp_n', 'cbasp[e]']",['HMDB00828'],['C00438'],,['HLKXYZVTANABHZ-REOHCLBHSA-L'],HMDB0000828
cbl1,['Cob(I)alamin'],"['cbl1', 'cbl1_c', 'cbl1[m]', 'cbl1_e', 'cbl1_p', 'cbl1_m', 'cbl1[c]']","['HMDB03429', 'HMDB06470']",['C00853'],,['OMAOKVYASDIYQG-DSRCUDDDSA-L'],HMDB0003429
cbl2,['Cob II alamin C62H88CoN13O14P'],"['cbl2_c', 'cbl2_e', 'cbl2', 'cbl2[c]', 'cbl2[m]', 'cbl2_m']",,,,['ASARMUCNOOHMLO-FSANSEACSA-N'],HMDB0002174
cbp,['Carbamoyl phosphate'],"['cbp_n', 'cbp_r', 'cbp[m]', 'cbp[r]', 'cbp', 'cbp_m', 'cbp[c]', 'cbp_c', 'cbp_h']",['HMDB01096'],['C00169'],,['FFQKYPRQEYGKAF-UHFFFAOYSA-L'],HMDB0001096
cdp,['CDP C9H12N3O11P2'],"['cdp_m', 'cdp[m]', 'cdp', 'cdp[e]', 'cdp_e', 'cdp_c', 'cdp_n', 'cdp[n]', 'cdp[c]']",['HMDB01546'],['C00112'],,['ZWIADYZPOWUWEW-XVFCMESISA-K'],HMDB0001546
cdpchol,['CDPcholine C14H25N4O11P2'],"['cdpchol', 'cdpchol_c', 'cdpchol[c]', 'cdpchol[r]']",['HMDB01413'],['C00307'],,['RZZPDXZPRHQOCG-OJAKKHQRSA-M'],HMDB0001413
cdpea,['CDPethanolamine C11H19N4O11P2'],"['cdpea', 'cdpea[e]', 'cdpea_c', 'cdpea[c]', 'cdpea_m']",['HMDB01564'],['C00570'],,['WVIMUEUQJFPNDK-PEBGCTIMSA-M'],HMDB0001564
cgly,['Cys Gly C5H10N2O3S'],"['cgly', 'cgly[c]', 'cgly_c', 'cgly_e', 'cgly[e]', 'cgly_p']","['HMDB00078', 'HMDB28775']",['C01419'],,['ZUKPVRWZDMRIEO-VKHMYHEASA-N'],HMDB0000078
chol,['Choline C5H14NO'],"['chol_r', 'chol[r]', 'chol_m', 'chol_g', 'chol[n]', 'chol_e', 'chol_p', 'chol[m]', 'chol_n', 'chol[c]', 'chol[e]', 'chol_c', 'chol[g]', 'chol']",['HMDB00097'],['C00114'],,['OEYIOHPDSNJKLS-UHFFFAOYSA-N'],HMDB0000097
cholate,['Cholate c'],"['cholate[e]', 'cholate[m]', 'cholate_p', 'cholate_c', 'cholate[c]', 'cholate[x]', 'cholate[r]', 'cholate', 'cholate_r', 'cholate_e']",['HMDB00619'],['C00695'],['LMST04010001'],['BHQCQFFYRZLCQQ-OELDTZBJSA-M'],HMDB0000619
cholp,['Choline phosphate C5H13NO4P'],"['cholp[n]', 'cholp[c]', 'cholp_g', 'cholp', 'cholp_l', 'cholp[e]', 'cholp[g]', 'cholp_c', 'cholp[l]', 'cholp_m']","['HMDB01565', 'HMDB00284']",['C00588'],,['YHHSONZFOIEMCP-UHFFFAOYSA-M'],HMDB0001565
chsterol,['Chsterol c'],"['chsterol[c]', 'chsterol[m]', 'chsterol[r]', 'chsterol_c', 'chsterol[g]', 'chsterol_l', 'chsterol', 'chsterol[l]', 'chsterol_r', 'chsterol_e', 'chsterol_m', 'chsterol_g', 'chsterol[e]']","['HMDB62453', 'HMDB00067', 'HMDB00507']",['C00187'],"['LMST01010093', 'LMST01010001']",['HVYWMOMLDIMFJA-DPAQBDIFSA-N'],HMDB0000067
chtn,['Chtn c'],"['chtn_e', 'chtn_c', 'chtn[c]', 'chtn[e]', 'chtn']",['HMDB03362'],['C00461'],,,HMDB0003362
cit,['Citrate'],"['cit[c]', 'cit_p', 'cit[e]', 'cit', 'cit_x', 'cit[m]', 'cit_m', 'cit_e', 'cit_c']",['HMDB00094'],['C00158'],,['KRKNYBCHXYNGOX-UHFFFAOYSA-K'],HMDB0000094
citr__L,['L-Citrulline'],"['citr-L[c]', 'citr__L_m', 'citr__L_e', 'citr_DASH_L_h', 'citr_L[m]', 'citr-L[e]', 'citr__L_c', 'citr_L[e]', 'citr_L_e', 'citr_DASH_L_m', 'citr_L_m', 'citr_L[c]', 'citr_L_c', 'citr__L', 'citr_DASH_L_c']",['HMDB00904'],['C00327'],,['RHGKLRLOHDJJDR-BYPYZUCNSA-N'],HMDB0000904
cl,['Chloride'],"['cl_m', 'cl_c', 'cl_h', 'cl', 'cl[x]', 'cl[n]', 'cl[e]', 'cl_p', 'cl[c]', 'cl[l]', 'cl_e']","['HMDB00492', 'HMDB02306', 'HMDB02162', 'HMDB02073']","['C01327', 'C00698']",,['VEXZGXHMUGYJMC-UHFFFAOYSA-M'],HMDB0002306
cmp,['CMP C9H12N3O8P'],"['cmp_c', 'cmp_g', 'cmp_n', 'cmp[m]', 'cmp[e]', 'cmp[n]', 'cmp_m', 'cmp[l]', 'cmp_e', 'cmp', 'cmp_h', 'cmp_l', 'cmp_p', 'cmp[r]', 'cmp[g]', 'cmp[c]']",['HMDB00095'],['C00055'],,['IERHLVCPSMICTF-XVFCMESISA-L'],HMDB0000095
cmpacna,['CMP-N-acetylneuraminate'],"['cmpacna', 'cmpacna_g', 'cmpacna_n', 'cmpacna[e]', 'cmpacna[c]', 'cmpacna_c', 'cmp_nate', 'cmpacna[g]', 'cmpacna[n]', 'cmp_DASH_nate_c']","['HMDB01176', 'HMDB01040', 'HMDB62695']",['C00128'],,['TXCIAUNLDRJGJZ-BILDWYJOSA-L'],HMDB0001176
cmusa,['2 Amino 3 carboxymuconate semialdehyde C7H6NO5'],"['cmusa_c', 'cmusa[c]', 'cmusa']","['HMDB62578', 'HMDB01330']",['C04409'],,['KACPVQQHDVBVFC-OIFXTYEKSA-M'],HMDB0001330
co,['Carbon monoxide'],"['co[e]', 'co_e', 'co_c', 'co_h', 'co', 'co[c]', 'co_p']",['HMDB01361'],['C00237'],,['UGFAIRIUMAVXCW-UHFFFAOYSA-N'],HMDB0001361
co2,['CO2 CO2'],"['co2_v', 'co2[m]', 'co2_cx', 'co2_g', 'co2_p', 'co2_e', 'co2_m', 'co2_h', 'co2[e]', 'co2', 'co2[l]', 'co2[n]', 'co2_x', 'co2[r]', 'co2[g]', 'co2[c]', 'co2_n', 'co2_c', 'co2_r', 'co2[x]']",['HMDB01967'],['C00011'],,['CURLTUGMZLYLDI-UHFFFAOYSA-N'],HMDB0001967
coa,['Coenzyme A'],"['coa_c', 'coa[g]', 'coa_n', 'coa_w', 'coa_h', 'coa_m', 'coa[c]', 'coa[x]', 'coa[r]', 'coa_x', 'coa[e]', 'coa_e', 'coa[n]', 'coa_r', 'coa_g', 'coa[m]', 'coa', 'coa_s', 'coa_l', 'coa[l]']","['HMDB62184', 'HMDB01423']",['C00010'],,['RGJOEKWQDUBAIZ-IBOSZNHHSA-J'],HMDB0001423
coucoa,['P coumaroyl CoA C30H38N7O18P3S1'],"['4cmcoa', 'coucoa[m]', '4cmcoa_c', 'coucoa[c]', 'coucoa_m', 'coucoa', 'coucoa_c']",['HMDB60153'],['C00223'],['LMFA07050265'],['DMZOKBALNZWDKI-MATMFAIHSA-J'],HMDB0060153
coumarin,"['Coumarin', ' 2H-1-Benzopyran-2-one']","['coumarin[c]', 'coumarin', 'coumarin_c', 'coumarin_e', 'coumarin[e]']",['HMDB01218'],['C05851'],,['ZYGHJZDHTFUPRJ-UHFFFAOYSA-N'],HMDB0001218
cpppg3,['Coproporphyrinogen III'],"['cpppg3_h', 'cpppg3[c]', 'cpppg3', 'cpppg3_c']",['HMDB01261'],['C03263'],,['NIUVHXTXUXOFEB-UHFFFAOYSA-J'],HMDB0001261
creat,['Creatine cytosol'],"['creat_m', 'creat', 'creat_p', 'creat[c]', 'creat_c', 'creat[m]', 'creat_e', 'creat[e]']",['HMDB00562'],['C00791'],,['DDRJAANPRJIHGJ-UHFFFAOYSA-N'],HMDB0000562
crn,['L-Carnitine'],"['crn_p', 'crn[x]', 'crn[e]', 'crn_c', 'crn[c]', 'crn_e', 'crn[m]', 'crn[r]', 'crn_x', 'crn', 'crn_m', 'crn_r']","['HMDB00062', 'HMDB62496', 'HMDB01467']","['C00318', 'C00487']",,['PHIQHXFUZVPYII-ZCFIWIBFSA-N'],HMDB0000062
csn,['Cytosine'],"['csn_c', 'csn[c]', 'csn_p', 'csn', 'csn[e]', 'csn_e']",['HMDB00630'],['C00380'],,['OPTASPLRGRRNAP-UHFFFAOYSA-N'],HMDB0000630
ctp,['CTP C9H12N3O14P3'],"['ctp_m', 'ctp[n]', 'ctp[c]', 'ctp_c', 'ctp[m]', 'ctp_n', 'ctp_h', 'ctp_e', 'ctp', 'ctp[e]']",['HMDB00082'],['C00063'],,['PCDQPRRSZKQHHS-XVFCMESISA-J'],HMDB0000082
cyan,['Hydrogen cyanide'],"['cyan[c]', 'cyan_p', 'cyan_e', 'cyan_m', 'cyan[m]', 'cyan[e]', 'cyan_c', 'cyan']",['HMDB60292'],"['C01326', 'C00177']",,['LELOWRISYMNNSU-UHFFFAOYSA-N'],HMDB0060292
cys__L,['L-Cysteine'],"['cys_DASH_L_h', 'cys-L[e]', 'cys_DASH_L_m', 'cys_L[c]', 'cys_DASH_L_e', 'cys__L_c', 'cys_L[e]', 'cys__L', 'cys_L_e', 'cys_L_p', 'cys__L_h', 'cys_DASH_L_c', 'cys__L_p', 'cys__L_m', 'cys__L_e', 'cys-L[c]', 'cys_L[m]', 'cys_L_c', 'cys_DASH_L_p']",['HMDB00574'],"['C00736', 'C00097']",,['XUJNEKJLAYXESH-REOHCLBHSA-N'],HMDB0000574
cysam,['Cysteamine C2H8NS'],"['cysam[c]', 'cysam', 'cysam[e]', 'cysam_c', 'cysam_e']","['HMDB02991', 'HMDB60150']",['C01678'],,['UFULAYFCSOUIOV-UHFFFAOYSA-O'],HMDB0002991
cysi__L,['L Cystine C6H12N2O4S2'],"['cysi_L_p', 'cysi_DASH_L_c', 'cysi__L_e', 'Lcystin_c', 'Lcystin[c]', 'cysi__L_c', 'cysi_DASH_L_e', 'cysi_DASH_L_p', 'cysi_L_e', 'Lcystin[e]', 'cysi__L', 'cysi__L_p', 'cysi_L_c', 'Lcystin', 'Lcystin_e']",['HMDB00192'],['C00491'],,['LEVWYRKDKASIDU-IMJSIDKUSA-N'],HMDB0000192
cyst__L,['L-Cystathionine'],"['cyst_L[m]', 'cysth__L', 'cyst_L[c]', 'cyst__L_m', 'cyst_L_e', 'cyst-L[c]', 'cyst_L[e]', 'cyst_L_c', 'cyst_L_x', 'cyst_DASH_L_c', 'cyst__L_c', 'cyst_DASH_L_x', 'cyst__L', 'cyst_DASH_L_h', 'cysth_L_c']","['HMDB03614', 'HMDB00099']",['C02291'],,['ILRYLPWNYFXEMH-WHFBIAKZSA-N'],HMDB0000099
cytd,['Cytidine'],"['cytd[e]', 'cytd[c]', 'cytd_l', 'cytd_e', 'cytd[n]', 'cytd', 'cytd_c', 'cytd[m]', 'cytd_m', 'cytd_n', 'cytd[l]', 'cytd_p']",['HMDB00089'],['C00475'],,['UHDGCWIWMRVCDJ-XVFCMESISA-N'],HMDB0000089
dad_2,['Deoxyadenosine'],"['dad_DASH_2_c', 'dad__2_p', 'dad_2[l]', 'dad_2', 'dad__2_c', 'dad_DASH_2_p', 'dad_2[n]', 'dad__2_e', 'dad_DASH_2_e', 'dad-2[c]', 'dad_DASH_2_l', 'dad_2[e]', 'dad_2_e', 'dad_2[c]', 'dad_2_c', 'dad__2_l', 'dad_2_p']","['HMDB00101', 'HMDB11722', 'HMDB05778']",['C00559'],,['OLXZPDWKRNYJJZ-RRKCRQDMSA-N'],HMDB0000101
dad_5,"[""5'-Deoxyadenosine""]","['dad_5', 'dad_DASH_5_h', 'dad-5[c]', 'dad_5_h', 'dad_5_m', 'dad__5_e', 'dad_DASH_5_c', 'dad_DASH_5_e', 'dad_5_c', 'dad__5_c']",['HMDB01983'],['C05198'],,['XGYIMTFOTBMPFP-KQYNXXCUSA-N'],HMDB0001983
dadp,['DADP C10H12N5O9P2'],"['dadp_c', 'dadp_m', 'dadp', 'dadp[n]', 'dadp[m]', 'dadp[c]', 'dadp_h', 'dadp_n']",['HMDB01508'],['C00206'],,['DAEAPNUQQAICNR-RRKCRQDMSA-K'],HMDB0001508
dag_hs,['Diacylglycerol (homo sapiens)'],"['dag_hs', 'dag_hs_e', 'dag_hs_n', 'dag_hs[c]', 'dag_hs_r', 'dag_hs[r]', 'dag_hs[n]', 'dag_hs[g]', 'dag_hs_c', 'dag_hs[e]']",,"['C00165', 'C00641']",['LMGL02010000'],,HMDB0007098
damp,['DAMP C10H12N5O6P'],"['damp[l]', 'damp[m]', 'damp[n]', 'damp_l', 'damp_p', 'damp[c]', 'damp_e', 'damp', 'damp_c', 'damp_h', 'damp_m']",['HMDB00905'],['C00360'],,['KHWCHTKSEGGWEX-RRKCRQDMSA-L'],HMDB0000905
datp,['DATP C10H12N5O12P3'],"['datp_n', 'datp[n]', 'datp_c', 'datp_m', 'datp[m]', 'datp[c]', 'datp']",['HMDB01532'],['C00131'],,['SUYVUBYJARFZHO-RRKCRQDMSA-J'],HMDB0001532
dcacoa,['Decanoyl-CoA (n-C10:0CoA)'],"['dcacoa[m]', 'dcacoa', 'dcacoa_c', 'dcacoa_x', 'dcacoa[c]', 'dcacoa[x]', 'dcacoa_m']",['HMDB06404'],,,,HMDB0006404
dcamp,"['N6-(1,2-Dicarboxyethyl)-AMP']","['dcamp[c]', 'dcamp_c', 'dcamp_h', 'dcamp']","['HMDB11633', 'HMDB59653', 'HMDB01332', 'HMDB00536']",['C03794'],,['OFBHPPMPBOJXRT-DPXQIYNJSA-J'],HMDB0000536
dcdp,['DCDP C9H12N3O10P2'],"['dcdp', 'dcdp_c', 'dcdp_n', 'dcdp[n]', 'dcdp[c]', 'dcdp_m', 'dcdp[m]']",['HMDB01245'],['C00705'],,['FTDHDKPUHBLBTL-SHYZEUOFSA-K'],HMDB0001245
dcholcoa,['Chenodeoxycholoyl coenzyme a'],"['dcholcoa[m]', 'dcholcoa[c]', 'dcholcoa_x', 'dcholcoa', 'dcholcoa_r', 'dcholcoa_c', 'dcholcoa[x]', 'dcholcoa[r]']","['HMDB02325', 'HMDB06292']",['C05337'],,['IIWDDMINEZBCTG-RUAADODMSA-J'],HMDB0006292
dcmp,['DCMP C9H12N3O7P'],"['dcmp_n', 'dcmp[m]', 'dcmp_p', 'dcmp[l]', 'dcmp_m', 'dcmp_e', 'dcmp[n]', 'dcmp[e]', 'dcmp_l', 'dcmp_c', 'dcmp', 'dcmp[c]']",['HMDB01202'],['C00239'],,['NCMVOABPESMRCP-SHYZEUOFSA-L'],HMDB0001202
dctp,['DCTP C9H12N3O13P3'],"['dctp_n', 'dctp_m', 'dctp_c', 'dctp[n]', 'dctp[m]', 'dctp', 'dctp[c]']",['HMDB00998'],['C00458'],,['RGWHQCVHVJXOKC-SHYZEUOFSA-J'],HMDB0000998
dcyt,['Deoxycytidine'],"['dcyt[m]', 'dcyt[e]', 'dcyt_l', 'dcyt[n]', 'dcyt_c', 'dcyt[c]', 'dcyt_p', 'dcyt_e', 'dcyt_n', 'dcyt_m', 'dcyt[l]', 'dcyt']",['HMDB00014'],['C00881'],,['CKTSBUTUHBMZGZ-SHYZEUOFSA-N'],HMDB0000014
dd2coa,['Trans-Dodec-2-enoyl-CoA'],"['dd2coa[c]', 'dd2coa_c', 'dd2coa[m]', 'dd2coa[x]', 'dd2coa', 'dd2coa_m', 'dd2coa_x']","['HMDB03712', 'HMDB11689']",['C03221'],"['LMFA07050378', 'LMFA07050176', 'LMFA07050010']",['IRFYVBULXZMEDE-DEEZISNZSA-J'],HMDB0003712
ddcacoa,['Dodecanoyl-CoA (n-C12:0CoA)'],"['ddcacoa', 'ddcacoa[x]', 'ddcacoa[m]', 'ddcacoa[c]', 'ddcacoa_m', 'ddcacoa[r]', 'ddcacoa_c', 'ddcacoa_x']",['HMDB03571'],['C01832'],"['LMFA07050340', 'LMFA07050005']",['YMCXGHLSVALICC-GMHMEAMDSA-J'],HMDB0003571
debrisoquine,['Debrisoquine c'],"['debrisoquine_e', 'debrisoquine[e]', 'debrisoquine[c]', 'debrisoquine_c', 'debrisoquine']",['HMDB06543'],['C13650'],,['JWPGJSVJDAJRLW-UHFFFAOYSA-O'],HMDB0006543
decdp,['All trans Decaprenyl diphosphate'],"['decdp[m]', 'decdp_c', 'decdp[c]', 'decdp', 'decdp_m']",['HMDB59616'],"['C04509', 'C18321', 'C17432']","['LMPR03030011', 'LMPR03030009']",['FSCYHDCTHRVSKN-CMVHWAPMSA-K'],HMDB0059616
dgdp,['DGDP C10H12N5O10P2'],"['dgdp_r', 'dgdp[n]', 'dgdp[c]', 'dgdp_m', 'dgdp_c', 'dgdp_n', 'dgdp', 'dgdp[m]']",['HMDB00960'],['C00361'],,['CIKGWCTVFSRMJU-KVQBGUIXSA-K'],HMDB0000960
dgmp,['DGMP C10H12N5O7P'],"['dgmp_c', 'dgmp_p', 'dgmp[c]', 'dgmp[e]', 'dgmp[l]', 'dgmp_l', 'dgmp_e', 'dgmp_m', 'dgmp_r', 'dgmp[m]', 'dgmp']",,['C00362'],,['LTFMZDNNPPEQNG-KVQBGUIXSA-L'],HMDB0001044
dgsn,['Deoxyguanosine'],"['dgsn_p', 'dgsn_m', 'dgsn[e]', 'dgsn[c]', 'dgsn[l]', 'dgsn[m]', 'dgsn', 'dgsn_l', 'dgsn_e', 'dgsn_c']",['HMDB00085'],['C00330'],,['YKBGVTZYEHREMT-KVQBGUIXSA-N'],HMDB0000085
dgtp,['DGTP C10H12N5O13P3'],"['dgtp[n]', 'dgtp', 'dgtp_e', 'dgtp_c', 'dgtp[m]', 'dgtp_n', 'dgtp_m', 'dgtp[e]', 'dgtp[c]']",['HMDB01440'],['C00286'],,['HAAZLUGHYHWQIW-KVQBGUIXSA-J'],HMDB0001440
dha,['Dihydroxyacetone'],"['dha_p', 'dha_e', 'dha_c', 'dha', 'dha[e]', 'dha[c]']",['HMDB01882'],['C00184'],,['RXKJFZQQPQGTFL-UHFFFAOYSA-N'],HMDB0001882
dhap,['Dihydroxyacetone phosphate'],"['dhap[x]', 'dhap_m', 'dhap[c]', 'dhap_h', 'dhap_c', 'dhap_x', 'dhap[m]', 'dhap', 'dhap_f', 'dhap[e]', 'dhap_e']","['HMDB11735', 'HMDB01473']",['C00111'],,['GNGACRATGGDKBX-UHFFFAOYSA-L'],HMDB0001473
dhbpt,"['6,7-Dihydrobiopterin']","['dhbpt_m', 'dhbpt', 'dhbpt_c', 'dhbpt[e]', 'dhbpt[c]']",,,,['ZHQJVZLJDXWFFX-UHFFFAOYSA-N'],HMDB0002215
dhdascb,['Dehydroascorbate'],"['dhdascb_e', 'dhdascb_m', 'dhdascb_u', 'dhdascb', 'dhdascb[e]', 'dhdascb_h', 'dhdascb_c', 'dhdascb[c]', 'dhdascb[m]']","['HMDB01264', 'HMDB62706']",['C05422'],,['OESHPIGALOBJLM-REOHCLBHSA-N'],HMDB0001264
dhea,['Dehydroepiandrosterone'],"['dhea[m]', 'dhea_c', 'dhea[c]', 'dhea[r]', 'dhea_r', 'dhea[e]', 'dhea']",['HMDB00077'],['C01227'],['LMST02020021'],['FMGSKLZLMKYGDP-USOAJAOKSA-N'],HMDB0000077
dheas,['Dehydroepiandrosterone sulfate'],"['dheas', 'dheas[c]', 'dheas[r]', 'dheas[e]', 'dheas_r', 'dheas_c', 'dheas_e']",['HMDB01032'],['C04555'],['LMST05020010'],['CZWCKYRVOZZJNM-USOAJAOKSA-M'],HMDB0001032
dhf,"['7,8-Dihydrofolate']","['dhf[c]', 'dhf_c', 'dhf_e', 'dhf[e]', 'dhf[m]', 'dhf_m', 'dhf_l', 'dhf[l]', 'dhf']",['HMDB01056'],['C00415'],,['OZRNSSUDZOLUSN-LBPRGKRZSA-L'],HMDB0001056
dhlam,['Dihydrolipoamide C8H17NOS2'],"['dhlam_h', 'dhlam[c]', 'dhlam_m', 'dhlam_c', 'dhlam', 'dhlam[m]']","['HMDB06948', 'HMDB00985']",['C00579'],"['LMFA08010014', 'LMFA08010019']",['VLYUGYAKYZETRF-SSDOTTSWSA-N'],HMDB0000985
dhor__S,['(S)-Dihydroorotate'],"['dhor_DASH_S_m', 'dhor__S_c', 'dhor-S[c]', 'dhor_DASH_S_c', 'dhor_DASH_S_n', 'dhor_S[c]', 'dhor_S_c', 'dhor__S']",['HMDB03349'],['C00337'],,['UFIVEPVSAGBUSI-REOHCLBHSA-M'],HMDB0003349
didp,"['DIDP', "" 2'-deoxyinosine-5'-diphosphate(3-)""]","['didp[n]', 'didp_n', 'didp[c]', 'didp', 'didp[m]', 'didp_c', 'didp_m']",['HMDB03536'],['C01344'],,['BKUSIKGSPSFQAC-RRKCRQDMSA-K'],HMDB0003536
dimp,['DIMP C10H12N4O7P'],"['dimp_e', 'dimp_c', 'dimp_p', 'dimp', 'dimp[c]']",['HMDB06555'],['C06196'],,['PHNGFPPXDJJADG-RRKCRQDMSA-L'],HMDB0006555
din,['Deoxyinosine'],"['din[e]', 'din[c]', 'din_e', 'din_p', 'din_c', 'din']",['HMDB00071'],['C05512'],,['VGONTNSXDCQUGY-RRKCRQDMSA-N'],HMDB0000071
ditp,['DITP(4-)'],"['ditp_m', 'ditp[e]', 'ditp[c]', 'ditp[m]', 'ditp_c', 'ditp_n', 'ditp', 'ditp[n]']",,['C01345'],,['UFJPAQSLHAGEBL-RRKCRQDMSA-J'],HMDB0003537
dkmpp,"['2,3-diketo-5-methylthio-1-phosphopentane']","['dkmpp_c', 'dkmpp', 'dkmpp[c]']","['HMDB59620', 'HMDB62750', 'HMDB60266']",['C15650'],,['HKEAOVFNWRDVAJ-UHFFFAOYSA-L'],HMDB0059620
dmgly,"['N,N-Dimethylglycine']","['dmgly_p', 'dmgly', 'dmgly_c', 'dmgly_e', 'dmgly[m]', 'dmgly_m', 'dmgly[e]', 'dmgly[c]']",['HMDB00092'],['C01026'],,['FFDGPVCHZBVARC-UHFFFAOYSA-N'],HMDB0000092
dmpp,['Dimethylallyl diphosphate'],"['dmpp[x]', 'dmpp_x', 'dmpp_h', 'dmpp[c]', 'dmpp', 'dmpp_c']","['HMDB02101', 'HMDB01120']",['C00235'],['LMPR01010001'],['CBIDRCWHNCKSTO-UHFFFAOYSA-K'],HMDB0001120
dnad,['Deamino-NAD+'],"['dnad_m', 'dnad[c]', 'dnad', 'dnad[m]', 'dnad_h', 'dnad_n', 'dnad_c', 'dnad[n]']",['HMDB01179'],['C00857'],,['SENPVEZBRZQVST-HISDBWNOSA-L'],HMDB0001179
dopa,['Dopamine'],"['dopa[l]', 'dopa_p', 'dopa[x]', 'dopa[e]', 'dopa_e', 'dopa_c', 'dopa[c]', 'dopa']",['HMDB00073'],['C03758'],,['VYFYYTLLBUKUHU-UHFFFAOYSA-O'],HMDB0000073
dpcoa,['Dephospho-CoA'],"['dpcoa[l]', 'dpcoa_e', 'dpcoa_c', 'dpcoa[e]', 'dpcoa[m]', 'dpcoa[c]', 'dpcoa_m', 'dpcoa_l', 'dpcoa', 'dpcoa_h']",['HMDB01373'],['C00882'],['LMFA07050315'],['KDTSHFARGAKYJN-IBOSZNHHSA-L'],HMDB0001373
drib,['Deoxyribose C5H10O4'],"['drib_c', 'drib[e]', 'drib_x', 'drib', 'drib_p', 'drib_e', 'drib[c]']",['HMDB03224'],['C01801'],,['PDWIQYODPROSQH-PYHARJCCSA-N'],HMDB0003224
